"Switch View", "Alterar Visualização"
"Read More", "Detalhes"
"Top", "Top"
"Cart", "Carrinho"
"item", "item"
"items", "items"
"in your cart", "em seu carrinho"
"view cart", "ver o carrinho"
"Search...", "Buscar..."
"Cart Subtotal:", "Subtotal:"
"Checkout", "Checkout"
"Edit cart", "Editar carrinho"
"Email Address", "Email"
"Password", "Senha"
"Forgot Your Password?", "Esqueceu a senha?"
"* Required Fields", "* Campos Obrigatórios"
"Your Language:", "Seu idioma:"
"Log In", "Entrar"
"Sign Up", "Registrar"
"Text Size", "Tamanho do Texto"
"Click main image to zoom &amp; pan", "Clique na imagem principal para amplia-la"
"More images", "Mais imagens"
"Watch a product video", "Watch a product video"
"Our Featured Products", "Nossos produtos em destaque"
"Recently Added Products", "Produtos adicionados Recentemente"
"Most Viewed Products", "Mais Vistos"
"Highest Rated Products", "Produtos Mais Cotados"
"Special Price Products", "Promoções"

"Monday", "Segunda-feira"
"Tuesday", "Terça-feira"
"Wednesday", "Quarta-feira"
"Thursday", "Quinta-feira"
"Friday", "Sexta-feira"
"Saturday", "Sábado"
"Sunday", "Domingo"

"January", "Janeiro"
"February", "Fevereiro"
"March", "Março"
"April", "Abril"
"May", "Maio"
"June", "Junho"
"July", "Julho"
"August", "Agosto"
"September", "Setembro"
"October", "Outubro"
"November", "Novembro"
"December", "Dezembro"
