"%d Review(s)","%d Avaliação(ões)"
"%s Review(s)","%s Avaliação(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Adicionar Nova Avaliação"
"Add Your Review","Adicionar Sua Avaliação"
"Administrator","Administrador"
"All Reviews","Todas Avaliações"
"All Reviews of Customer `%s`","Todas Avaliações do Cliente `%s`"
"All Reviews of Product `%s`","Todas Avaliações do Produto `%s`"
"Allow Guests to Write Reviews","Permitir Avaliações de Visitantes"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Are you sure?","Tem certeza?"
"Average Customer Rating","Nota Média do Cliente"
"Average Customer Rating:","Nota Média do Cliente:"
"Back","Voltar"
"Back to Main Product Info","Voltar as Informações Gerais do Produto"
"Back to My Reviews","Volta para Minhas Avaliações"
"Back to Product Reviews","Voltar a Avaliações do Produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Catalog Product Review View","Catálogo Produto Avaliações Visualizar"
"Catalog Product Reviews List","Catálogo Produto Avaliações Lista"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente Minha Conta Produto Avaliações"
"Customer My Account Review Details","Cliente Minha Conta Produto Detalhes"
"Customer Reviews","Avaliação do Cliente"
"Customers Reviews","Avaliações de Clientes"
"Delete","Remover"
"Delete Review","Remover Avaliação"
"Detailed Rating","Notas Detalhadas"
"Edit Review '%s'","Editar Avaliação '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você avalia este produto?"
"ID","ID"
"Manage Ratings","Gerenciar Avaliações"
"My Product Reviews","Minhas Avaliações"
"My Recent Reviews","Minhas Avaliações Recentes"
"Name","Nome"
"Name in Store","Nome na Loja"
"New Review","Nova Avaliação"
"Nickname","Apelido"
"Nickname can\'t be empty","Apelido não pode ser vazio"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Somente usuários registrados podem escrever avaliações. Por favor, faça o<a href=""%s"">login</a> ou <a href=""%s"">cadastre-se</a>"
"Pending Reviews","Avaliações Pendentes"
"Pending Reviews of Customer `%s`","Avaliações Pendentes do Cliente `%s`"
"Please select a product","Por favor selecione um produto"
"Please select one of each of the ratings above","Por favor selecione umas das notas abaixo"
"Posted By","Postado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Nota do Produto"
"Product Rating:","Nota do Produto:"
"Product Review (submitted on %s):","Avaliação do Produto (enviado em %s):"
"Product Reviews","Comentários"
"Product SKU","Product SKU"
"Products Reviews","Avaliações de Produtos"
"Qty","Qtd"
"Rating:","Nota:"
"Review","Avaliação"
"Review (submitted on %s):","Avaliação (enviada em %s):"
"Review Details","Detalhes da Avaliação"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Review by <span>%s</span>"
"Review can\'t be empty","Review can\'t be empty"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews and Ratings","Avaliações e Comentários"
"SKU","SKU"
"Save Review","Salvar Avaliação"
"Status","Status"
"Submit Review","Enviar Avaliação"
"Summary Rating","Nota do Resumo"
"Summary of Review","Resumo da Avaliação"
"Summary of Your Review","Resumo da sua Avaliação"
"Title","Title"
"Type","Tipo"
"Unable to post the review.","Não foi possível postar a avaliação."
"Update Status","Atualizar Status"
"View All Reviews","Visualizar todas AvaliaçõesView All Reviews"
"View Details","Visualizar Detalhes"
"Visible In","Visível em"
"Websites","Websites"
"Write Your Own Review","Escreva sua própria avaliação"
"You have submitted no reviews.","Você não enviou nenhuma avaliação."
"You're reviewing:","Você está avaliando:"
"Your Rating:","Sua Nota:"
"Your Review (submitted on %s):","Sua Avaliação (enviada em %s):"
"Your review has been accepted for moderation.","Sua avaliação foi aceita para moderação."
